data_element,group,status,format_length,national_codes,link
PRIMARY PROCEDURE (OPCS),Core,R,See OPCS-4 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_procedure_(opcs)_de.asp?shownav=0
PRIMARY PROCEDURE (SNOMED CT),Core,O,See SNOMED CT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_procedure_(snomed_ct)_de.asp?shownav=0
PROCEDURE (OPCS),Core,R,See OPCS-4 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_(opcs)_de.asp?shownav=0
PROCEDURE (SNOMED CT),Core,O,See SNOMED CT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_(snomed_ct)_de.asp?shownav=0
ADDITIONAL UNPLANNED PROCEDURE REQUIRED INDICATOR,Core,R,an1,See ADDITIONAL UNPLANNED PROCEDURE REQUIRED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ad/additional_unplanned_procedure_required_indicator_de.asp?shownav=0
DISCHARGE DATE (HOSPITAL PROVIDER SPELL),Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/discharge_date_(hospital_provider_spell)_de.asp?shownav=0
DISCHARGE DESTINATION CODE (HOSPITAL PROVIDER SPELL),Core,R,an2,See DISCHARGE DESTINATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/discharge_destination_code_(hospital_provider_spell)_de.asp?shownav=0
ASA PHYSICAL STATUS CLASSIFICATION SYSTEM CODE,Core,R,an1,See ASA PHYSICAL STATUS CLASSIFICATION SYSTEM CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/as/asa_physical_status_classification_system_code_de.asp?shownav=0
SURGICAL ACCESS TYPE,Core,R,an1,See SURGICAL ACCESS TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/su/surgical_access_type_de.asp?shownav=0
STEM CELL INFUSION SOURCE CODE,Core,R,an1,See STEM CELL INFUSION SOURCE CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/stat/stem_cell_infusion_source_code_de.asp?shownav=0
STEM CELL INFUSION DONOR TYPE,Core,R,an1,See STEM CELL INFUSION DONOR TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/stat/stem_cell_infusion_donor_type_de.asp?shownav=0
STEM CELL TRANSPLANT CONDITIONING REGIMEN,Core,R,an1,See STEM CELL TRANSPLANT CONDITIONING REGIMEN,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/stat/stem_cell_transplant_conditioning_regimen_de.asp?shownav=0
BRACHYTHERAPY TYPE,Core,R,an2,See BRACHYTHERAPY TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/br/brachytherapy_type_de.asp?shownav=0
MONITORING INTENT,Core,R,an1,See MONITORING INTENT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/monitoring_intent_de.asp?shownav=0
LACTATE DEHYDROGENASE LEVEL (PEAK AT DIAGNOSIS),Core,R,max n6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/lactate_dehydrogenase_level_(peak_at_diagnosis)_de.asp?shownav=0
LACTATE DEHYDROGENASE LEVEL (NORMAL UPPER LIMIT),Core,R,max n6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/lactate_dehydrogenase_level_(normal_upper_limit)_de.asp?shownav=0
BETA HUMAN CHORIONIC GONADOTROPIN (MAXIMUM AT DIAGNOSIS),Core,R,See BETA HUMAN CHORIONIC GONADOTROPIN,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/beta_human_chorionic_gonadotropin_(maximum_at_diagnosis)_de.asp?shownav=0
ALPHA FETOPROTEIN (MAXIMUM AT DIAGNOSIS),Core,R,See ALPHA FETOPROTEIN,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/alpha_fetoprotein_(maximum_at_diagnosis)_de.asp?shownav=0
INVESTIGATION RESULT DATE,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/inv/investigation_result_date_de.asp?shownav=0
SERVICE REPORT IDENTIFIER,Core,R,min an1 max an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_report_identifier_de.asp?shownav=0
PATHOLOGY OBSERVATION REPORT IDENTIFIER,Core,R,min an1 max an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_observation_report_identifier_de.asp?shownav=0
SERVICE REPORT STATUS,Core,R,an1,See SERVICE REPORT STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_report_status_de.asp?shownav=0
CARE PROFESSIONAL CODE (PATHOLOGY TEST REQUESTED BY),Core,R,an8,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_code_(pathology_test_requested_by)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF PATHOLOGY TEST REQUEST),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_pathology_test_request)_de.asp?shownav=0
SAMPLE COLLECTION DATE,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sample_collection_date_de.asp?shownav=0
SAMPLE RECEIPT DATE,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sample_receipt_date_de.asp?shownav=0
ORGANISATION IDENTIFIER (OF REPORTING PATHOLOGIST),Core,R,min an3 max an5,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(of_reporting_pathologist)_de.asp?shownav=0
CONSULTANT CODE (PATHOLOGIST),Core,R,See CONSULTANT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(pathologist)_de.asp?shownav=0
SPECIMEN NATURE,Core,R,an1,See SPECIMEN NATURE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/specimen_nature_de.asp?shownav=0
SNOMED VERSION (PATHOLOGY),Core,R,an2,See SNOMED VERSION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/snomed_version_(pathology)_de.asp?shownav=0
TOPOGRAPHY (SNOMED PATHOLOGY),Core,R,min an6 max an18,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/to/topography_(snomed_pathology)_de.asp?shownav=0
MORPHOLOGY (SNOMED PATHOLOGY),Core,R,min an6 max an18,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(snomed_pathology)_de.asp?shownav=0
PRIMARY DIAGNOSIS (ICD PATHOLOGICAL),Core,R,See ICD-10 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_diagnosis_(icd_pathological)_de.asp?shownav=0
TUMOUR LATERALITY (PATHOLOGICAL),Core,R,an1,See TUMOUR OR LESION LATERALITY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_laterality_(pathological)_de.asp?shownav=0
PATHOLOGY INVESTIGATION TYPE,Core,R,an2,See PATHOLOGY INVESTIGATION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_investigation_type_de.asp?shownav=0
PATHOLOGY REPORT TEXT,Core,R,max an270000,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathology_report_text_de.asp?shownav=0
LESION SIZE (PATHOLOGICAL),Core,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_size_(pathological)_de.asp?shownav=0
GRADE OF DIFFERENTIATION (PATHOLOGICAL),Core,R,an2,See GRADE OF DIFFERENTIATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gr/grade_of_differentiation_(pathological)_de.asp?shownav=0
CANCER VASCULAR OR LYMPHATIC INVASION,Core,R,an2,See CANCER VASCULAR OR LYMPHATIC INVASION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_vascular_or_lymphatic_invasion_de.asp?shownav=0
EXCISION MARGIN INDICATION CODE,Core,R,an2,See EXCISION MARGIN INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/excision_margin_indication_code_de.asp?shownav=0
SYNCHRONOUS TUMOUR INDICATOR,Core,R,an1,See SYNCHRONOUS TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_indicator_de.asp?shownav=0
NUMBER OF NODES EXAMINED,Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_de.asp?shownav=0
NUMBER OF NODES POSITIVE,Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_de.asp?shownav=0
TNM CODING EDITION,Core,R,an1,See TNM CODING EDITION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_coding_edition_de.asp?shownav=0
TNM VERSION NUMBER (PATHOLOGICAL),Core,R,max an2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_version_number_(pathological)_de.asp?shownav=0
T CATEGORY (PATHOLOGICAL),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/t_category_(pathological)_de.asp?shownav=0
N CATEGORY (PATHOLOGICAL),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/n_category_(pathological)_de.asp?shownav=0
M CATEGORY (PATHOLOGICAL),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/m_category_(pathological)_de.asp?shownav=0
TNM STAGE GROUPING (PATHOLOGICAL),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_(pathological)_de.asp?shownav=0
NEOADJUVANT THERAPY INDICATOR,Core,R,an1,See NEOADJUVANT THERAPY INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/ne/neoadjuvant_therapy_indicator_de.asp?shownav=0
MULTIFOCAL TUMOUR INDICATOR (BREAST),Core,R,an1,See MULTIFOCAL TUMOUR INDICATOR FOR BREAST,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multifocal_tumour_indicator_(breast)_de.asp?shownav=0
DUCTAL CARCINOMA IN SITU GRADE,Core,R,an1,See DUCTAL CARCINOMA IN SITU GRADE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dr/ductal_carcinoma_in_situ_grade_de.asp?shownav=0
NON INVASIVE TUMOUR SIZE,Core,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/non_invasive_tumour_size_de.asp?shownav=0
WHOLE TUMOUR SIZE,Core,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/w/we/whole_tumour_size_de.asp?shownav=0
METASTASIS EXTENT CODE,Core,R,an1,See METASTASIS EXTENT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastasis_extent_code_de.asp?shownav=0
DISTANCE TO MARGIN,Core,R,max n2.max n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_margin_de.asp?shownav=0
ALLRED SCORE (ESTROGEN RECEPTOR),Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/allred_score_(estrogen_receptor)_de.asp?shownav=0
ESTROGEN RECEPTOR STATUS,Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/estrogen_receptor_status_de.asp?shownav=0
ALLRED SCORE (PROGESTERONE RECEPTOR),Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/allred_score_(progesterone_receptor)_de.asp?shownav=0
PROGESTERONE RECEPTOR STATUS,Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/progesterone_receptor_status_de.asp?shownav=0
HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR STATUS,Core,R,an1,See RECEPTOR STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/human_epidermal_growth_factor_receptor_status_de.asp?shownav=0
HUMAN EPIDERMAL GROWTH FACTOR IN SITU HYBRIDIZATION RECEPTOR STATUS,Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/human_epidermal_growth_factor_in_situ_hybridization_receptor_status_de.asp?shownav=0
CYTOLOGY RESULT CODE (BREAST),Core,R,an2,See CYTOLOGY RESULT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytology_result_code_(breast)_de.asp?shownav=0
CYTOLOGY RESULT CODE (NODE),Core,R,an2,See CYTOLOGY RESULT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytology_result_code_(node)_de.asp?shownav=0
CORE BIOPSY RESULT CODE (BREAST),Core,R,max an3,See CORE BIOPSY RESULT CODE FOR BREAST,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/core_biopsy_result_code_(breast)_de.asp?shownav=0
CORE BIOPSY RESULT CODE (NODE),Core,R,an2,See CORE BIOPSY RESULT CODE FOR NODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/core_biopsy_result_code_(node)_de.asp?shownav=0
MOLECULAR DIAGNOSTIC CODE,Core,R,an2,See MOLECULAR DIAGNOSTIC CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/molecular_diagnostic_code_de.asp?shownav=0
HORMONE EXPRESSION TYPE,Core,R,an1,See HORMONE EXPRESSION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hi/hormone_expression_type_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (POSITIVE PROXIMAL OR DISTAL RESECTION MARGIN),Core,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(positive_proximal_or_distal_resection_margin)_de.asp?shownav=0
DISTANCE TO CLOSEST NON PERITONEALISED RESECTION MARGIN,Core,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_closest_non_peritonealised_resection_margin_de.asp?shownav=0
PLANE OF SURGICAL EXCISION TYPE,Core,R,an1,See PLANE OF SURGICAL EXCISION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pl/plane_of_surgical_excision_type_de.asp?shownav=0
DISTANCE FROM DENTATE LINE,Core,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_from_dentate_line_de.asp?shownav=0
DISTANCE BEYOND MUSCULARIS PROPRIA,Core,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_beyond_muscularis_propria_de.asp?shownav=0
PREOPERATIVE THERAPY RESPONSE TYPE,Core,R,an1,See PREOPERATIVE THERAPY RESPONSE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pot/preoperative_therapy_response_type_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (CIRCUMFERENTIAL MARGIN),Core,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(circumferential_margin)_de.asp?shownav=0
GRADE OF DIFFERENTIATION (COLORECTAL PATHOLOGICAL),Core,R,an1,See GRADE OF DIFFERENTIATION FOR COLORECTAL,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gr/grade_of_differentiation_(colorectal_pathological)_de.asp?shownav=0
TUMOUR RUPTURE INDICATOR,Core,R,an1,See TUMOUR RUPTURE INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_rupture_indicator_de.asp?shownav=0
ANAPLASTIC NEPHROBLASTOMA TYPE,Core,R,an1,See ANAPLASTIC NEPHROBLASTOMA TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaplastic_nephroblastoma_type_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PERIRENAL FAT),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(perirenal_fat)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (RENAL SINUS),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(renal_sinus)_de.asp?shownav=0
RENAL VEIN TUMOUR INDICATOR,Core,R,an1,See RENAL VEIN TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ren/renal_vein_tumour_indicator_de.asp?shownav=0
VIABLE TUMOUR INDICATOR,Core,R,an1,See VIABLE TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/v/viable_tumour_indicator_de.asp?shownav=0
TUMOUR LOCAL STAGE,Core,R,an1,See TUMOUR LOCAL STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_local_stage_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATION CODE (FALLOPIAN TUBE),Core,R,an1,See MICROSCOPIC INVOLVEMENT INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indication_code_(fallopian_tube)_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATION CODE (OVARIAN),Core,R,an1,See MICROSCOPIC INVOLVEMENT INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indication_code_(ovarian)_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (SEROSA),Core,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(serosa)_de.asp?shownav=0
OMENTUM INVOLVEMENT INDICATION CODE,Core,R,an1,See OMENTUM INVOLVEMENT INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/oc/omentum_involvement_indication_code_de.asp?shownav=0
CAPSULE STATUS,Core,R,an1,See CAPSULE STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/capsule_status_de.asp?shownav=0
OVARY SURFACE INVOLVEMENT INDICATOR,Core,R,an1,See OVARY SURFACE INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/ov/ovary_surface_involvement_indicator_de.asp?shownav=0
PERITONEAL CYTOLOGY RESULT CODE,Core,R,an1,See PERITONEAL CYTOLOGY RESULT CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_cytology_result_code_de.asp?shownav=0
PERITONEAL INVOLVEMENT INDICATOR,Core,R,an1,See PERITONEAL INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_involvement_indicator_de.asp?shownav=0
INVASIVE THICKNESS,Core,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/inv/invasive_thickness_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (CERVICAL STROMA),Core,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(cervical_stroma)_de.asp?shownav=0
MYOMETRIAL INVASION IDENTIFICATION CODE,Core,R,an1,See MYOMETRIAL INVASION IDENTIFICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/myometrial_invasion_identification_code_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (PARAMETRIUM),Core,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(parametrium)_de.asp?shownav=0
PERITONEAL WASHINGS IDENTIFIED,Core,R,an1,See PERITONEAL WASHINGS IDENTIFIED,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_washings_identified_de.asp?shownav=0
CERVICAL GLANDULAR INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,Core,R,an1,See CERVICAL GLANDULAR INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_glandular_intraepithelial_neoplasia_presence_and_grade_de.asp?shownav=0
CERVICAL INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,Core,R,an1,See CERVICAL INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_intraepithelial_neoplasia_presence_and_grade_de.asp?shownav=0
SMILE INDICATION CODE,Core,R,an1,See SMILE INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/smile_indication_code_de.asp?shownav=0
RESECTION MARGIN INVOLVEMENT INDICATOR,Core,R,an1,See RESECTION MARGIN INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/resection_margin_involvement_indicator_de.asp?shownav=0
PARACERVICAL OR PARAMETRIAL INVOLVEMENT INDICATOR,Core,R,an1,See PARACERVICAL OR PARAMETRIAL INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/paracervical_or_parametrial_involvement_indicator_de.asp?shownav=0
UNINVOLVED CERVICAL STROMA THICKNESS,Core,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/un/uninvolved_cervical_stroma_thickness_de.asp?shownav=0
MICROSCOPIC INVOLVEMENT INDICATOR (VAGINAL),Core,R,an1,See MICROSCOPIC INVOLVEMENT INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(vaginal)_de.asp?shownav=0
CERVICAL NODE STATUS,Core,R,an2,See CERVICAL NODE STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_node_status_de.asp?shownav=0
NUMBER OF NODES EXAMINED (PARA-AORTIC),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(para-aortic)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (PARA-AORTIC),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(para-aortic)_de.asp?shownav=0
NUMBER OF NODES EXAMINED (PELVIC),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(pelvic)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (PELVIC),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(pelvic)_de.asp?shownav=0
NUMBER OF NODES EXAMINED (INGUINO-FEMORAL),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(inguino-femoral)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (INGUINO-FEMORAL),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(inguino-femoral)_de.asp?shownav=0
EXTRANODAL SPREAD INDICATOR,Core,R,an1,See EXTRANODAL SPREAD INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extranodal_spread_indicator_de.asp?shownav=0
MAXIMUM DEPTH OF INVASION,Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mat/maximum_depth_of_invasion_de.asp?shownav=0
BONE INVASION INDICATION CODE,Core,R,an1,See BONE INVASION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bo/bone_invasion_indication_code_de.asp?shownav=0
CARTILAGE INVASION INDICATION CODE,Core,R,an1,See CARTILAGE INVASION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/cartilage_invasion_indication_code_de.asp?shownav=0
ANATOMICAL SIDE (NECK DISSECTION),Core,R,an1,See ANATOMICAL SIDE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(neck_dissection)_de.asp?shownav=0
MACROSCOPIC EXTRAGLANDULAR EXTENSION INDICATION CODE,Core,R,an1,See MACROSCOPIC EXTRAGLANDULAR EXTENSION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/macroscopic_extraglandular_extension_indication_code_de.asp?shownav=0
ANATOMICAL SIDE (POSITIVE NODES),Core,R,an1,See ANATOMICAL SIDE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(positive_nodes)_de.asp?shownav=0
LARGEST METASTASIS (LEFT NECK),Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/largest_metastasis_(left_neck)_de.asp?shownav=0
LARGEST METASTASIS (RIGHT NECK),Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/largest_metastasis_(right_neck)_de.asp?shownav=0
EXTRACAPSULAR SPREAD INDICATION CODE,Core,R,an1,See EXTRACAPSULAR SPREAD INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extracapsular_spread_indication_code_de.asp?shownav=0
TUMOUR PROXIMITY TO CARINA,Core,R,an1,See TUMOUR PROXIMITY TO CARINA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_proximity_to_carina_de.asp?shownav=0
EXTENT OF ATELECTASIS,Core,R,an1,See EXTENT OF ATELECTASIS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extent_of_atelectasis_de.asp?shownav=0
EXTENT OF PLEURAL INVASION,Core,R,an1,See EXTENT OF PLEURAL INVASION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extent_of_pleural_invasion_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PERICARDIUM),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(pericardium)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (DIAPHRAGM),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(diaphragm)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (GREAT VESSELS),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(great%20vessels)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (HEART),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(heart)_de.asp?shownav=0
MALIGNANT PLEURAL EFFUSION INDICATOR,Core,R,an1,See MALIGNANT PLEURAL EFFUSION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/malignant_pleural_effusion_indicator_de.asp?shownav=0
SATELLITE TUMOUR NODULES LOCATION,Core,R,an1,See SATELLITE TUMOUR NODULES LOCATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/satellite_tumour_nodules_location_de.asp?shownav=0
GENETIC CONFIRMATION INDICATOR,Core,R,an1,See GENETIC CONFIRMATION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/genetic_confirmation_indicator_de.asp?shownav=0
